INGREDIENTID,RECIPEID,QUANTITY,INGREDIENTNAME
3491,433,43,almond
3523,208,21,salmon
3791,716,17,cheese
3866,125,8,"olive oil"
3984,208,47,strawberry
4025,248,1,orange
4098,125,30,sugar
4176,716,8,eggs
4212,716,34,cheese
4375,493,47,beef
4449,125,21,almond
4671,208,8,flour
4808,716,2,sugar
4976,125,47,beef
5548,716,21,strawberry
5566,208,8,banana
6161,465,5,almond
6173,208,21,banana
6292,545,47,banana
6325,208,8,strawberry
6567,716,27,almond
6702,151,35,chicken
6722,716,21,salt
6986,208,8,eggs
7245,125,47,eggs
8073,208,8,butter
8196,624,33,chicken
8201,716,1,walnut
8272,716,10,yogurt
