PRODNR,PRODNAME,PROD_TYPE,PRODQUANTITY
3518,Popcorn,SOLID,10
3827,Croissant,SEMI-LIQUID,1
3854,Croissant,SEMI-LIQUID,9
4064,"French fries",LIQUID,6
4114,Croissant,SOLID,9
4183,"Hot dog",SEMI-LIQUID,4
4202,"Ice cream",SOLID,3
4450,Waffles,SEMI-LIQUID,8
4527,"Hot dog",SEMI-LIQUID,2
4530,Waffles,LIQUID,1
4564,Waffles,SEMI-LIQUID,10
4629,Popcorn,SEMI-LIQUID,1
4849,"Hot dog",SEMI-LIQUID,6
5031,Croissant,SOLID,10
5437,Waffles,LIQUID,7
5458,"Ice cream",LIQUID,10
5937,Sausages,SEMI-LIQUID,5
6362,Popcorn,SOLID,10
6395,Noodles,SOLID,8
6522,Toast,SEMI-LIQUID,3
6575,Sausages,LIQUID,8
6817,Waffles,SEMI-LIQUID,9
6826,Noodles,SOLID,8
6983,"Ice cream",SOLID,6
7202,Noodles,SEMI-LIQUID,4
7354,Sausages,SEMI-LIQUID,2
7525,"Hot dog",SOLID,6
7547,Toast,SEMI-LIQUID,2
8149,"Hot dog",LIQUID,4
8229,Croissant,LIQUID,2
